Name,Price,Average Rating,No of Ratings,Image URL,Product URL
"SENSODYNE Fresh Mint Combo,ï¿½ for daily sensitivity protection Toothpaste",586,4.4,1319 ,https://rukminim2.flixcart.com/image/416/416/l4yi7bk0/toothpaste/j/r/r/-original-imagfqkzrm7vvrhz.jpeg?q=70&amp;crop=false,https://www.flipkart.com/sensodyne-fresh-mint-combo-daily-sensitivity-protection-toothpaste/p/itm947b62a9a5199?pid=TPSG5ZJHSPZKSHNE&amp;lid=LSTTPSG5ZJHSPZKSHNEU0EY2R&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_1&amp;otracker=search&amp;fm=organic&amp;iid=en_hH6YvjXobcSSeCUnmz8U9Go1qm6XUuwObyOqO_4_B3ENoHjWXg9wNkH25cVAeTefcx-ZTPvAUKtdQgaxi3JZivUFjCTyOHoHZs-Z5_PS_w0%3D&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
SENSODYNE Sensitivity and Gum Sensitive Toothpaste,312,4.3,1241 ,https://rukminim2.flixcart.com/image/416/416/l5ld8y80/toothpaste/3/i/5/-original-imagg8fwty8g7wms.jpeg?q=70&amp;crop=false,https://www.flipkart.com/sensodyne-sensitivity-gum-sensitive-toothpaste/p/itm0436fea08f693?pid=TPSG8D9CZ5SB3U3A&amp;lid=LSTTPSG8D9CZ5SB3U3AWJPGJQ&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_2&amp;otracker=search&amp;fm=organic&amp;iid=en_hH6YvjXobcSSeCUnmz8U9Go1qm6XUuwObyOqO_4_B3Fvg8fAh-Z0utBPEnRTRO19D5AbBgKT5LLTPUXPVayjRPUFjCTyOHoHZs-Z5_PS_w0%3D&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
Colgate Bamboo Charcoal Clean &amp; mint (pack of 4 ) Toothpaste,433,4.4,24446 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/v/k/o/-original-imags38nzddj5twh.jpeg?q=70&amp;crop=false,https://www.flipkart.com/colgate-bamboo-charcoal-clean-mint-pack-4-toothpaste/p/itmb26717279bd37?pid=TPSFMSDUVXXPATPG&amp;lid=LSTTPSFMSDUVXXPATPGJZAP5Y&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_3&amp;otracker=search&amp;fm=organic&amp;iid=ee55adb6-bd79-4b34-9f08-7b7cd74c9c44.TPSFMSDUVXXPATPG.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
Colgate Maxfresh Blue Gel Peppermint Ice Toothpaste,325,4.5,87499 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/g/n/b/-original-imags38yzw9tgkay.jpeg?q=70&amp;crop=false,https://www.flipkart.com/colgate-maxfresh-blue-gel-peppermint-ice-toothpaste/p/itmfehguhjbuhnjm?pid=TPSFEHGUCJZPYF4E&amp;lid=LSTTPSFEHGUCJZPYF4EEM4NI9&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_4&amp;otracker=search&amp;fm=organic&amp;iid=ee55adb6-bd79-4b34-9f08-7b7cd74c9c44.TPSFEHGUCJZPYF4E.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
Colgate MaxFresh Red Gel with Cooling Crystals for Intense Cooling &amp; Super Fresh Breath Toothpaste,330,4.5,118792 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/1/o/n/-original-imagwf8h9pvsggmz.jpeg?q=70&amp;crop=false,https://www.flipkart.com/colgate-maxfresh-red-gel-cooling-crystals-intense-super-fresh-breath-toothpaste/p/itmecd6a277606ee?pid=TPSG2CK8DM4AE9NF&amp;lid=LSTTPSG2CK8DM4AE9NFOAJWMQ&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_5&amp;otracker=search&amp;fm=organic&amp;iid=ee55adb6-bd79-4b34-9f08-7b7cd74c9c44.TPSG2CK8DM4AE9NF.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
"Colgate Strong Teeth Cavity Protection with Calcium Boost (500gm x 2), India's No.1 Toothpaste",441,4.5,112441 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/j/9/z/-original-imags38xxzhha8hp.jpeg?q=70&amp;crop=false,https://www.flipkart.com/colgate-strong-teeth-cavity-protection-calcium-boost-500gm-x-2-india-s-no-1-toothpaste/p/itmde94a444b7617?pid=TPSFN5USDGQFXWPQ&amp;lid=LSTTPSFN5USDGQFXWPQUEZ9HR&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_6&amp;otracker=search&amp;fm=organic&amp;iid=ee55adb6-bd79-4b34-9f08-7b7cd74c9c44.TPSFN5USDGQFXWPQ.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
"Colgate MaxFresh Toothpaste, Red Gel Paste with Menthol for Super Fresh Breath, (Spicy Fresh) and MaxFresh Toothpaste, Blue Gel Paste with Menthol for Super Fresh Breath (Peppermint Ice), 600 gm Toothpaste",405,4.5,20019 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/4/c/z/-original-imags38xzfjyrbgj.jpeg?q=70&amp;crop=false,https://www.flipkart.com/colgate-maxfresh-toothpaste-red-gel-paste-menthol-super-fresh-breath-spicy-fresh-blue-breath-peppermint-ice-600-gm-toothpaste/p/itme2a5dea2bff79?pid=TPSG5Y59TNPZFHE9&amp;lid=LSTTPSG5Y59TNPZFHE9I988TB&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_7&amp;otracker=search&amp;fm=organic&amp;iid=ee55adb6-bd79-4b34-9f08-7b7cd74c9c44.TPSG5Y59TNPZFHE9.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
Emoform Toothpaste 100 gm pack of 2 Toothpaste,230,4.3,544 ,https://rukminim2.flixcart.com/image/416/416/kqb8pzk0/toothpaste/6/w/l/toothpaste-100-gm-pack-of-2-emoform-original-imag4cm9ygx8ffy5.jpeg?q=70&amp;crop=false,https://www.flipkart.com/emoform-toothpaste-100-gm-pack-2/p/itm71af3f54b0db8?pid=TPSFTY2RMBHWQGWZ&amp;lid=LSTTPSFTY2RMBHWQGWZLXL53E&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_8&amp;otracker=search&amp;fm=organic&amp;iid=en_hH6YvjXobcSSeCUnmz8U9Go1qm6XUuwObyOqO_4_B3FTeFjf6VPaCRCyIjxyfOx34Ppejj1-y3836J3fv68qkA%3D%3D&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
Colgate Active Salt Toothpaste,334,4.4,55707 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/5/x/v/-original-imags38ndf2fzfnv.jpeg?q=70&amp;crop=false,https://www.flipkart.com/colgate-active-salt-toothpaste/p/itmez3fujxupz2bp?pid=TPSF4P9RXRZ2RZJ9&amp;lid=LSTTPSF4P9RXRZ2RZJ9VVYLCZ&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_9&amp;otracker=search&amp;fm=organic&amp;iid=ee55adb6-bd79-4b34-9f08-7b7cd74c9c44.TPSF4P9RXRZ2RZJ9.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
Colgate Visible White O2 Teeth Whitening - Aromatic Mint Toothpaste,212,4,22248 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/c/e/4/-original-imags38zbevfqbvb.jpeg?q=70&amp;crop=false,https://www.flipkart.com/colgate-visible-white-o2-teeth-whitening-aromatic-mint-toothpaste/p/itmf15aa1a0a5412?pid=TPSGASZVDHT5G5SV&amp;lid=LSTTPSGASZVDHT5G5SVITGLHF&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_10&amp;otracker=search&amp;fm=organic&amp;iid=ee55adb6-bd79-4b34-9f08-7b7cd74c9c44.TPSGASZVDHT5G5SV.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
"Parodontax Daily Fluoride 75g Toothpaste, 4X more effective at plaque removal Toothpaste",349,4.3,147 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/n/j/f/300-daily-fluoride-75g-toothpaste-4x-more-effective-at-plaque-original-imagtdkfeprfh9gc.jpeg?q=70&amp;crop=false,https://www.flipkart.com/parodontax-daily-fluoride-75g-toothpaste-4x-more-effective-plaque-removal-toothpaste/p/itm9fc82f3181838?pid=TPSGSZEKKCQJH4ND&amp;lid=LSTTPSGSZEKKCQJH4ND564YJJ&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_11&amp;otracker=search&amp;fm=organic&amp;iid=en_hH6YvjXobcSSeCUnmz8U9Go1qm6XUuwObyOqO_4_B3ECKrRfnStSyFFrSiXPquiktgdWLyzz4uRbHu4HWRORKkhz9c-MSIoFe8xMxkfU6dM%3D&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
"DENTE91 Coffee &amp; Mint Sensitivity Relief, Repair Cavities, Free from Fluoride &amp; SLS Toothpaste",322,5,4 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/l/p/q/100-coffee-mint-sensitivity-relief-repair-cavities-free-from-original-imagmeg3dxdpkgke.jpeg?q=70&amp;crop=false,https://www.flipkart.com/dente91-coffee-mint-sensitivity-relief-repair-cavities-free-fluoride-sls-toothpaste/p/itm29c34fc6a96dd?pid=TPSGMEG3JP5ZGXRV&amp;lid=LSTTPSGMEG3JP5ZGXRVX2RTIK&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_12&amp;otracker=search&amp;fm=organic&amp;iid=en_hH6YvjXobcSSeCUnmz8U9Go1qm6XUuwObyOqO_4_B3HqBRZF9zlfm90PbvTAlOG607kV2KOb6xeXSmo_qYN4oN2yo00QUo0-hX2T_wTkgEI%3D&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
Colgate MaxFresh Spicy Fresh Red Gel Toothpaste,215,4.4,3040 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/0/g/z/-original-imagwf8hszknmxtz.jpeg?q=70&amp;crop=false,https://www.flipkart.com/colgate-maxfresh-spicy-fresh-red-gel-toothpaste/p/itmf96nkdtdvctbh?pid=TPSEYJ4YTZHMSFQH&amp;lid=LSTTPSEYJ4YTZHMSFQHUAPJ1W&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;spotlightTagId=BestsellerId_g9b%2Fcey%2F7ym&amp;srno=s_1_13&amp;otracker=search&amp;fm=organic&amp;iid=ee55adb6-bd79-4b34-9f08-7b7cd74c9c44.TPSEYJ4YTZHMSFQH.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
"Colgate Visible White, Teeth Whitening Starts in 1 week Toothpaste",288,4.3,1749 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/g/e/f/-original-imags38xgzghgdp8.jpeg?q=70&amp;crop=false,https://www.flipkart.com/colgate-visible-white-teeth-whitening-starts-1-week-toothpaste/p/itmd822474ec8c55?pid=TPSETEG6HJGWG5MG&amp;lid=LSTTPSETEG6HJGWG5MGB1UUUM&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_14&amp;otracker=search&amp;fm=organic&amp;iid=ee55adb6-bd79-4b34-9f08-7b7cd74c9c44.TPSETEG6HJGWG5MG.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
Colgate Active Salt Germ Fighting Toothpaste,227,4.4,2257 ,https://rukminim2.flixcart.com/image/416/416/xif0q/toothpaste/i/k/9/-original-imaghyrzaavqkgzy.jpeg?q=70&amp;crop=false,https://www.flipkart.com/colgate-active-salt-germ-fighting-toothpaste/p/itm710eee8d46fba?pid=TPSETEFVMTRNJJNF&amp;lid=LSTTPSETEFVMTRNJJNF3SVJCV&amp;marketplace=FLIPKART&amp;q=Colgate+Toothpaste&amp;store=g9b%2Fcey%2F7ym&amp;srno=s_1_15&amp;otracker=search&amp;fm=organic&amp;iid=ee55adb6-bd79-4b34-9f08-7b7cd74c9c44.TPSETEFVMTRNJJNF.SEARCH&amp;ppt=None&amp;ppn=None&amp;ssid=khshvuyvf40000001706100285123&amp;qH=c16ad5c3abd05058
