Name,Price,Average Rating,No of Ratings,ImageURL,Product URL
Colgate Strong Teeth Toothpaste,121.00,Non,0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSlMimGhE6qpXY8GjRYxMJKXtXJNqW1Va7Zj2AX9NknkLMviTU&amp;usqp=CAY,https://www.google.com/url?url=https://www.jiomart.com/p/groceries/colgate-strong-teeth-dental-cream-toothpaste-200-g/490002195%3Fsource%3Dfbads%26city%3DAurangabad%26pin%3D431003&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECJUJ&usg=AOvVaw2Fc9SPMaryeadqJsAoPn7b
Colgate Strong Teeth With Amino Shakti Saver Pack Toothpaste,256.00,5.0,5,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ0lexuXRrf0EGjj25d4v67ZnmRp8FWvvqaImIZB6eJQDiYViCosqPAlNP_P5SGG2f5R2XfUeSgZwp1pcmG23itE87tjvqD0g&amp;usqp=CAY,https://www.google.com/url?url=https://www.nykaa.com/colgate-strong-teeth-anticavity-toothpaste-with-amino-shakti-saver-pack-500gm/p/647109%3Fptype%3Dproduct%26skuId%3D647109%26srsltid%3DAfmBOooiNgbCoh9DvXgyN2Ghx5yrc8YZwnQ09Nwix-yYV6IBJ02v0Tr0Kms&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECKgJ&usg=AOvVaw2kTCZ5i0nX9_72-xkOE-q2
Colgate Strong Teeth Dental Cream Toothpaste 500 g Saver Pack,169.54,Non,0,NA,https://www.google.com/url?url=https://www.baskethunt.com/p/colgate-strong-teeth-dental-cream-toothpaste-500-g-saver-pack/&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQgOUECLYJ&usg=AOvVaw0cST5Ft4wZSxNb3YgqtS3A
Colgate Cibaca Toothpaste,48.00,Non,0,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRQ6cv65k-r_wcOt7uWNa1lG6Ov7K4lh3UF7JCFEBKbsAoa1D-YuPEWi1DvrQnqHc_Xv6J2AWRSWnh24Lf9vqTQhtR_0LT_Tw&amp;usqp=CAY,https://www.google.com/url?url=https://www.kiranamarket.com/categories/health-personal-care/colgate-cibaca-anti-cavity-toothpaste-for-healthy-white-teeth-175g&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECMUJ&usg=AOvVaw2yee4Ro4E_IeEVvuAiZlio
"Colgate Sensitive Plus Sensitivity Relief Toothpaste for sensitive teeth, 210g ...",360.00,Non,0,NA,https://www.google.com/url?url=https://www.amazon.in/Colgate-Sensitive-Toothpaste-sensitive-sensitivity/dp/B08WY2S2VN%3Fsource%3Dps-sl-shoppingads-lpcontext%26ref_%3Dfplfs%26psc%3D1%26smid%3DA27HMTVLMVAH19&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQgOUECNQJ&usg=AOvVaw2v4NVEwY1KQSJt1SV1uuFS
Colgate Strong Teeth Dental Cream Toothpaste 36 g,19.00,Non,0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQGms4Xq0llRtcQqqPiJj58O3V-l9tQfUuKKFTG1ikaorBMU0gp6cSa7hgWEVMkQstXKx_F5EWdDslL_oMTTi8I0NcB5V3c0mtWM3wNYWuD7efJZnQY2lH-&amp;usqp=CAY,https://www.google.com/url?url=https://www.jiomart.com/p/groceries/colgate-strong-teeth-dental-cream-toothpaste-48-g/490002197%3Fsource%3Dfbads%26city%3DBhadrak%26pin%3D756181&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECOMJ&usg=AOvVaw1y2xrvK9yCaeZFeOAa75HX
Colgate Bamboo Charcoal &amp;Mint Clean Toothpaste 120 g (Pack of 2),110.00,Non,0,NA,https://www.google.com/url?url=https://www.baskethunt.com/p/colgate-bamboo-charcoal-mint-clean-toothpaste-120-g-pack-of-2/&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQgOUECPIJ&usg=AOvVaw18WW0LqurRbMPA-o1wFHB2
Colgate Strong Teeth Dental Cream Toothpaste 200 g,130.00,Non,0,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRVEBNXBoSAIRVXhE9pL89iIdU1D-KjXTOxNOben1ut75430KDR9LXA7vh8CU4xezkZwL5WOuPHxzOGm8VpoQQJTm_SYY44k_ZEH5pCYzsJ_Vk1VgxLXLAv_g&amp;usqp=CAY,https://www.google.com/url?url=https://www.medplusmart.com/product/colgate-strong-teeth-dental-cream-200-gm_colg0028%3Fsrsltid%3DAfmBOopAZVe_UWeQV28iNogq-bEXK9hT4_sCwtIx66fBX-sCoz7mC6UUnkM&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECIAK&usg=AOvVaw1Ni6PfkwTnRGKOPscc-8gn
Colgate Strong Teeth With Cavity Protection Toothpaste 150G,92.00,Non,0,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSmimvEXQD2bqmDyUzWlPQ05Sds9bZwUh7k_ol8P83R-P8sBk_9aTU7eXktaVxEereOrP-9mPjAVSWZgyRr0lBaCVIyzkjBRA&amp;usqp=CAY,https://www.google.com/url?url=https://blinkit.com/prn/colgate-strong-teeth-anticavity-toothpaste-(150-g)/prid/19192%3Flat%3D30.7098500000000%26lon%3D76.7602650000000&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECJEK&usg=AOvVaw2KV7cVNYoX4E2Dgy_QnPC0
Non,175.50,4.3,8348,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTwtXO1j8OxY9Cy4Hgk0imwr6SQhXW3qZ4HmmHhuKgpPebDDRwQE5Ydiq-gaKH46NVqZpw6hSUdSUq0c1LF9szNGGdhZ9Kw&amp;usqp=CAY,https://www.google.com/url?url=https://www.bigbasket.com/pd/40170604/colgate-sensitive-everyday-protection-anticavity-toothpaste-80-g/%3Fz%3DMzE0OTkyNTYxNQ%26utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_campaign%3DBangalore-PLA/&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECKQK&usg=AOvVaw1i_0JLVGDMTvOVNwjKvhCY
Non,2571.00,4.6,21678,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcT_8Hx7xvslOKm_o8Q9su3yPm0ncgQhoViFR09HjoyejbVglGwFh7x22jULw5MVs97Mua3WbWC3GFyLzr99__VPNpjTVJYBXA&amp;usqp=CAY,https://www.google.com/url?url=https://kiwla.com/products/Colgate-Triple-Action-Fluoride-Toothpaste-Original-Mint%3Fsku%3DKWLBFA12265%26utm_source%3Dgoogleshopping%26utm_medium%3Dcse%26srsltid%3DAfmBOopdHJNmNlS2faooWZwxU6WkkHcWQUh1_6j7gJmiKmW14Eu_RBD7Pkk&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECLUK&usg=AOvVaw3YTSNkJ0lfUxbxDUo0nkcj
Non,589.00,4.5,2062,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR1tPMDj-90UwkvOSrNYK8M6ypYv-UP0tgpIzs-tXsxIzY_UVte7A4ShSAXwYefK5cbf4g4zKuWUeE-peT2Ied3PFwHvvC1kA&amp;usqp=CAY,https://www.google.com/url?url=http://www.flipkart.com/colgate-bamboo-charcoal-clean-mint-pack-4-toothpaste/p/itmb26717279bd37%3Fpid%3DTPSFMSDUVXXPATPG%26lid%3DLSTTPSFMSDUVXXPATPGKKEM0V%26marketplace%3DFLIPKART%26cmpid%3Dcontent_toothpaste_8965229628_gmc&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECMYK&usg=AOvVaw3wqxkB9gFlggjY10dss_La
Non,4445.00,5.0,1,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcQ7mVD857L0qmQ_4PnWsZYwaoPYSV1474yXxG8THsJJCd9utaXiNvvGausomd1kmdTwiHtMn0X0-eudq50i0DIyNANvT8cdzg&amp;usqp=CAY,https://www.google.com/url?url=https://kiwla.com/products/Colgate-Cavity-Protection-Toothpaste-Pump-100g-Pack-of-3%3Fsku%3DKWLBFA12306%26utm_source%3Dgoogleshopping%26utm_medium%3Dcse%26srsltid%3DAfmBOooPQcjiFSeIdVmsgEnkoHEmLW9GsHrGwjFINMoER5nJRW1laYvOz3U&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECNYK&usg=AOvVaw0Z7TbXKax5cUIjTjotmfxv
Colgate Sensitive Original Toothpaste - 80 g (Buy 1 get 1 free),175.50,4.3,8348,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcTwtXO1j8OxY9Cy4Hgk0imwr6SQhXW3qZ4HmmHhuKgpPebDDRwQE5Ydiq-gaKH46NVqZpw6hSUdSUq0c1LF9szNGGdhZ9Kw&amp;usqp=CAY,https://www.google.com/url?url=https://www.bigbasket.com/pd/40170604/colgate-sensitive-everyday-protection-anticavity-toothpaste-80-g/%3Fz%3DMzE0OTkyNTYxNQ%26utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_campaign%3DBangalore-PLA/&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECOYK&usg=AOvVaw1tqMgO5xPiSXnutH8bW_In
Colgate Bamboo Charcoal Clean &amp; Mint Pack Of 4 Toothpaste,589.00,4.5,2062,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR1tPMDj-90UwkvOSrNYK8M6ypYv-UP0tgpIzs-tXsxIzY_UVte7A4ShSAXwYefK5cbf4g4zKuWUeE-peT2Ied3PFwHvvC1kA&amp;usqp=CAY,https://www.google.com/url?url=http://www.flipkart.com/colgate-bamboo-charcoal-clean-mint-pack-4-toothpaste/p/itmb26717279bd37%3Fpid%3DTPSFMSDUVXXPATPG%26lid%3DLSTTPSFMSDUVXXPATPGKKEM0V%26marketplace%3DFLIPKART%26cmpid%3Dcontent_toothpaste_8965229628_gmc&rct=j&q=&esrc=s&opi=95576897&sa=U&ved=0ahUKEwj71KjrhvaDAxXSbmwGHW5sDhUQguUECPcK&usg=AOvVaw2S-91emUfHip38PdgZ0kPc
